Feature,MaxClassProbability,ChanceThreshold
BA392,0.954,0.5
BA369,0.942,0.5
BA123,0.936,0.5
BA336,0.922,0.5
BA487,0.922,0.5
BA304,0.91,0.5
BA407,0.898,0.5
BA402,0.886,0.5
BA190,0.883,0.5
BA146,0.868,0.5
BA143,0.863,0.5
BA457,0.862,0.5
BA70,0.862,0.5
BA329,0.858,0.5
BA25,0.852,0.5
BA474,0.848,0.5
BA283,0.834,0.5
BA385,0.831,0.5
BA313,0.828,0.5
BA436,0.81,0.5
BA362,0.803,0.5
BA22,0.796,0.5
BA200,0.794,0.5
BA111,0.79,0.5
BA315,0.78,0.5
BA59,0.77,0.5
BA312,0.751,0.5
BA105,0.745,0.5
BA213,0.745,0.5
BA279,0.745,0.5
BA325,0.738,0.5
BA151,0.735,0.5
BA380,0.729,0.5
BA116,0.727,0.5
BA416,0.711,0.5
BA471,0.707,0.5
BA476,0.703,0.5
BA202,0.692,0.5
BA62,0.687,0.5
BA389,0.682,0.5
BA507,0.677,0.5
BA148,0.676,0.5
BA273,0.675,0.5
BA108,0.674,0.5
BA204,0.674,0.5
BA250,0.671,0.5
BA245,0.669,0.5
BA302,0.666,0.5
BA481,0.665,0.5
BA162,0.66,0.5
BA249,0.652,0.5
BA115,0.651,0.5
BA208,0.637,0.5
BA185,0.636,0.5
BA129,0.631,0.5
BA495,0.624,0.5
BA276,0.623,0.5
BA466,0.617,0.5
BA230,0.617,0.5
BA242,0.617,0.5
BA29,0.616,0.5
BA247,0.61,0.5
BA212,0.609,0.5
BA128,0.602,0.5
BA24,0.599,0.5
BA192,0.595,0.5
BA492,0.591,0.5
BA263,0.59,0.5
BA294,0.588,0.5
BA381,0.587,0.5
BA152,0.582,0.5
BA236,0.581,0.5
BA366,0.579,0.5
BA395,0.577,0.5
BA246,0.575,0.5
BA316,0.573,0.5
BA501,0.567,0.5
BA142,0.567,0.5
BA209,0.566,0.5
BA310,0.565,0.5
BA346,0.563,0.5
BA265,0.563,0.5
BA34,0.558,0.5
BA359,0.555,0.5
BA74,0.553,0.5
BA172,0.55,0.5
BA122,0.541,0.5
BA339,0.539,0.5
BA130,0.537,0.5
BA139,0.537,0.5
BA396,0.536,0.5
BA489,0.533,0.5
BA3,0.529,0.5
BA419,0.529,0.5
BA63,0.529,0.5
BA461,0.528,0.5
BA33,0.527,0.5
BA150,0.526,0.5
BA99,0.526,0.5
BA383,0.525,0.5
BA84,0.525,0.5
BA319,0.524,0.5
BA217,0.523,0.5
BA478,0.523,0.5
BA17,0.523,0.5
BA399,0.52,0.5
BA288,0.519,0.5
BA16,0.519,0.5
BA456,0.519,0.5
BA443,0.517,0.5
BA373,0.517,0.5
BA1,0.517,0.5
BA198,0.516,0.5
BA428,0.516,0.5
BA41,0.515,0.5
BA441,0.515,0.5
BA157,0.514,0.5
BA293,0.514,0.5
BA121,0.513,0.5
BA30,0.513,0.5
BA127,0.512,0.5
BA165,0.512,0.5
BA5,0.512,0.5
BA423,0.512,0.5
BA201,0.512,0.5
BA255,0.511,0.5
BA444,0.511,0.5
BA126,0.511,0.5
BA345,0.51,0.5
BA353,0.51,0.5
BA77,0.51,0.5
BA468,0.509,0.5
BA254,0.509,0.5
BA331,0.508,0.5
BA333,0.508,0.5
BA224,0.508,0.5
BA153,0.507,0.5
BA164,0.507,0.5
BA352,0.506,0.5
BA340,0.504,0.5
BA358,0.502,0.5
BA280,0.501,0.5
BA37,0.501,0.5
