Feature,Wilks_Lambda,P_Value
BA62,0.8343568882187776,0.0
BA111,0.7905189252414968,0.0
BA22,0.7715464147600107,0.0
BA24,0.7492896019182703,0.0
BA70,0.7341414602713413,0.0
BA5,0.7276413630030844,0.0
BA123,0.7229958071260738,0.0
BA122,0.720454366322238,0.0
BA121,0.7183361506613894,0.0
BA29,0.7161966778162814,0.0
BA51,0.715277685455983,0.0
BA143,0.6852911888536161,0.0
BA37,0.6845799664254115,0.0
BA63,0.6839466234838487,0.0
BA33,0.6833250591562969,0.0
BA25,0.6828012392064295,0.0
BA130,0.682319417228625,0.0
BA153,0.6775848502030672,0.0
BA116,0.6769634482962738,0.0
BA1,0.6764245752052312,0.0
BA126,0.6761090912826162,0.0
BA139,0.6759067993276862,0.0
BA162,0.6757405891534017,0.0
BA3,0.6756233622687025,0.0
BA8,0.6755105584664571,0.0
BA59,0.6753871679567454,0.0
BA185,0.6753059983978316,0.0
BA191,0.6752405994016001,0.0
BA192,0.6651920756287836,0.0
BA198,0.6648598511967801,0.0
BA99,0.664799164281935,0.0
BA201,0.6644780524664897,0.0
BA202,0.6642976089835133,0.0
BA203,0.663854298132208,0.0
BA204,0.66254547530548,0.0
BA208,0.6622973581920726,0.0
BA209,0.6620929844661362,0.0
BA146,0.6620298531716672,0.0
BA212,0.6400174529513319,0.0
BA213,0.6386520933582962,0.0
BA217,0.638125587927168,0.0
BA34,0.638073430918142,0.0
BA210,0.6380220222414934,0.0
BA236,0.6379487599484818,0.0
BA242,0.6296848061874879,0.0
BA190,0.6296039194622309,0.0
BA246,0.6247641151683518,0.0
BA247,0.6246726610727833,0.0
BA105,0.6246195722937985,0.0
BA250,0.6064898512821131,0.0
BA127,0.6064593026545744,0.0
BA255,0.606400312855193,0.0
BA263,0.6044747744061785,0.0
BA154,0.6043648670441057,0.0
BA273,0.6018426595713892,0.0
BA84,0.6018117417229483,0.0
BA279,0.6011249282609913,0.0
BA148,0.601080797720164,0.0
BA283,0.6010367816277812,0.0
BA142,0.601010874650149,0.0
BA108,0.600993638212703,0.0
BA291,0.6009518083442684,0.0
BA165,0.6008966963330822,0.0
BA294,0.6005156473083223,0.0
BA302,0.6004211572874213,0.0
BA304,0.5999328687897809,0.0
BA310,0.5998068698019476,0.0
BA287,0.599741058679199,0.0
BA129,0.5997101622603833,0.0
BA315,0.5996814290959266,0.0
BA316,0.5946366873854816,0.0
BA152,0.5946100571476488,0.0
BA230,0.5945834386059227,0.0
BA150,0.5945566066959583,0.0
BA172,0.594534964365532,0.0
BA331,0.594449200939234,0.0
BA65,0.5944276807918019,0.0
BA336,0.5943874742427206,0.0
BA339,0.5938352176416083,0.0
BA325,0.5938058056880479,0.0
BA276,0.5937789164304652,0.0
BA346,0.5914514205588451,0.0
BA352,0.5913490626777222,0.0
BA353,0.5913261956521183,0.0
BA115,0.591307141232817,0.0
BA41,0.5912886234549382,0.0
BA358,0.5912729782845009,0.0
BA362,0.5883905589034859,0.0
BA340,0.5883716376558111,0.0
BA366,0.5883593522111057,0.0
BA373,0.5878955182608102,0.0
BA359,0.5878754310873344,0.0
BA380,0.587840119398755,0.0
BA369,0.5878256764828662,0.0
BA2,0.5878099509315997,0.0
BA385,0.5877042774574774,0.0
BA312,0.5876780053490577,0.0
BA392,0.5873760215609651,0.0
BA288,0.5873349612932769,0.0
BA396,0.587164250956908,0.0
BA318,0.5871263437860834,0.0
BA399,0.5870753003075713,0.0
BA407,0.58702777090665,0.0
BA416,0.58695050727346,0.0
BA333,0.5869346227283893,0.0
BA423,0.5869204052583152,0.0
BA428,0.5812803616649337,0.0
BA383,0.5812624147937481,0.0
BA313,0.5812462544024929,0.0
BA441,0.5811667515020862,0.0
BA381,0.5811416338896872,0.0
BA395,0.581134183698274,0.0
BA447,0.5811136591436058,0.0
BA16,0.5811046431334018,0.0
BA457,0.5788711163802451,0.0
BA389,0.5788570156599055,0.0
BA466,0.5761640422610737,0.0
BA468,0.5761499181027229,0.0
BA471,0.5750963861302498,0.0
BA74,0.5750896123380824,0.0
BA77,0.5750844960333565,0.0
BA81,0.5750791792411852,0.0
BA475,0.5750739027247833,0.0
BA481,0.5724927758475267,0.0
BA478,0.5724708751907872,0.0
BA489,0.572441630910737,0.0
BA419,0.5724316296210644,0.0
BA495,0.5723949211328636,0.0
BA443,0.5723875386279493,0.0
BA507,0.5721893782702708,0.0
BA319,0.5721811522244804,0.0
BA492,0.5721751548832683,0.0
BA476,0.5721693900842919,0.0
BA431,0.5721636430630238,0.0
BA200,0.5721585471901977,0.0
BA378,0.5721558659296144,0.0
BA249,0.572144245796306,0.0
BA151,0.5721343033069695,0.0
BA456,0.5721314230539604,0.0
BA265,0.5721293220838146,0.0
BA345,0.35786207984012947,0.0
BA157,0.3577604237713697,0.0
BA356,0.35769636787100956,0.0
BA329,0.35768802699681207,0.0
BA402,0.35768021046003123,0.0
BA245,0.35759592920821814,0.0
BA280,0.35677538665804104,0.0
BA164,0.35677461323509035,0.0
BA461,0.354221235264263,0.0
BA128,0.35270215609448935,0.0
BA444,0.3522953110580942,0.0
BA224,0.35179977388804123,0.0
BA30,0.35108270244262424,0.0
BA180,0.3493209820453544,0.0
BA487,0.3489757472770857,0.0
BA474,0.34694177935413884,0.0
BA436,0.3445756426133125,0.0
BA501,0.33992974133313775,0.0
