Feature,MaxClassProbability,ChanceThreshold
BA336,0.946,0.25
BA492,0.944,0.25
BA369,0.94,0.25
BA201,0.936,0.25
BA190,0.926,0.25
BA33,0.924,0.25
BA5,0.915,0.25
BA392,0.915,0.25
BA302,0.913,0.25
BA310,0.908,0.25
BA236,0.903,0.25
BA487,0.897,0.25
BA385,0.893,0.25
BA139,0.891,0.25
BA105,0.884,0.25
BA279,0.883,0.25
BA276,0.878,0.25
BA123,0.878,0.25
BA283,0.869,0.25
BA304,0.868,0.25
BA142,0.85,0.25
BA381,0.837,0.25
BA313,0.832,0.25
BA402,0.832,0.25
BA22,0.829,0.25
BA162,0.826,0.25
BA407,0.826,0.25
BA29,0.812,0.25
BA129,0.812,0.25
BA247,0.798,0.25
BA204,0.794,0.25
BA507,0.786,0.25
BA203,0.785,0.25
BA329,0.779,0.25
BA325,0.768,0.25
BA25,0.763,0.25
BA185,0.759,0.25
BA59,0.755,0.25
BA474,0.75,0.25
BA294,0.745,0.25
BA208,0.743,0.25
BA213,0.741,0.25
BA146,0.741,0.25
BA362,0.739,0.25
BA74,0.735,0.25
BA111,0.735,0.25
BA200,0.733,0.25
BA380,0.733,0.25
BA202,0.727,0.25
BA148,0.721,0.25
BA436,0.714,0.25
BA99,0.699,0.25
BA315,0.692,0.25
BA416,0.688,0.25
BA466,0.686,0.25
BA476,0.682,0.25
BA495,0.677,0.25
BA70,0.673,0.25
BA389,0.668,0.25
BA471,0.664,0.25
BA143,0.661,0.25
BA428,0.656,0.25
BA273,0.656,0.25
BA209,0.654,0.25
BA312,0.647,0.25
BA108,0.646,0.25
BA62,0.635,0.25
BA151,0.635,0.25
BA457,0.632,0.25
BA242,0.632,0.25
BA116,0.625,0.25
BA122,0.618,0.25
BA245,0.617,0.25
BA34,0.616,0.25
BA250,0.616,0.25
BA481,0.608,0.25
BA478,0.608,0.25
BA212,0.607,0.25
BA501,0.605,0.25
BA24,0.605,0.25
BA246,0.601,0.25
BA255,0.599,0.25
BA157,0.598,0.25
BA346,0.598,0.25
BA475,0.597,0.25
BA339,0.597,0.25
BA51,0.597,0.25
BA127,0.596,0.25
BA115,0.595,0.25
BA340,0.593,0.25
BA191,0.593,0.25
BA443,0.592,0.25
BA280,0.592,0.25
BA345,0.592,0.25
BA333,0.591,0.25
BA63,0.59,0.25
BA359,0.59,0.25
BA331,0.59,0.25
BA16,0.59,0.25
BA180,0.59,0.25
BA353,0.589,0.25
BA224,0.589,0.25
BA263,0.589,0.25
BA373,0.588,0.25
BA293,0.588,0.25
BA2,0.588,0.25
BA489,0.587,0.25
BA399,0.587,0.25
BA130,0.587,0.25
BA431,0.587,0.25
BA444,0.587,0.25
BA249,0.587,0.25
BA291,0.586,0.25
BA396,0.586,0.25
BA8,0.586,0.25
BA37,0.586,0.25
BA154,0.586,0.25
BA17,0.586,0.25
BA84,0.585,0.25
BA81,0.585,0.25
BA461,0.585,0.25
BA41,0.585,0.25
BA217,0.583,0.25
BA468,0.582,0.25
BA288,0.581,0.25
BA164,0.58,0.25
BA152,0.58,0.25
BA30,0.58,0.25
BA423,0.58,0.25
BA318,0.579,0.25
BA1,0.578,0.25
BA352,0.578,0.25
BA198,0.578,0.25
BA3,0.578,0.25
BA153,0.577,0.25
BA447,0.577,0.25
BA316,0.577,0.25
BA77,0.576,0.25
BA319,0.575,0.25
BA383,0.575,0.25
BA356,0.575,0.25
BA230,0.573,0.25
BA121,0.573,0.25
BA150,0.572,0.25
BA441,0.571,0.25
BA65,0.571,0.25
BA378,0.569,0.25
BA192,0.569,0.25
BA126,0.569,0.25
BA287,0.568,0.25
BA254,0.565,0.25
BA165,0.564,0.25
BA395,0.564,0.25
BA358,0.564,0.25
BA456,0.564,0.25
BA210,0.561,0.25
BA366,0.548,0.25
BA128,0.537,0.25
BA419,0.53,0.25
BA265,0.521,0.25
BA172,0.521,0.25
