Feature,Wilks_Lambda,P_Value
BA5,0.8729843227824873,0.0
BA34,0.8330100817690312,0.0
BA33,0.8072393330640943,0.0
BA122,0.7847367671278259,0.0
BA105,0.768845172730915,0.0
BA111,0.757219750456459,0.0
BA121,0.7494171274354561,0.0
BA24,0.7439317096634863,0.0
BA63,0.7392108845957501,0.0
BA1,0.7345790696084438,0.0
BA29,0.7304867300783187,0.0
BA143,0.7259777498579031,0.0
BA22,0.7228935486694292,0.0
BA123,0.7205972934770646,0.0
BA130,0.7187712399347056,0.0
BA30,0.7170861137862173,0.0
BA8,0.7154055620160797,0.0
BA153,0.7102943483747145,0.0
BA3,0.709024473287064,0.0
BA139,0.7076826920612882,0.0
BA70,0.7069140960136613,0.0
BA116,0.7063388417864569,0.0
BA129,0.705823782200518,0.0
BA142,0.705333808517337,0.0
BA62,0.7049264124732553,0.0
BA99,0.7045424574311807,0.0
BA77,0.7041763040652069,0.0
BA126,0.7039227995335497,0.0
BA192,0.7021026591206747,0.0
BA198,0.7002895952887824,0.0
BA191,0.7000085265903861,0.0
BA190,0.6997896682154461,0.0
BA202,0.6937439726340016,0.0
BA203,0.6917338883575942,0.0
BA204,0.6908093804819088,0.0
BA208,0.6811136852309521,0.0
BA209,0.6760187285373142,0.0
BA16,0.6758544884288185,0.0
BA212,0.6668481107940564,0.0
BA213,0.6658777374033096,0.0
BA217,0.6612632821782559,0.0
BA84,0.6610887393057032,0.0
BA59,0.6609513644051169,0.0
BA236,0.6565065213345284,0.0
BA242,0.6400554403820378,0.0
BA230,0.639944210898299,0.0
BA246,0.6388572997338596,0.0
BA247,0.6386931551855806,0.0
BA154,0.6386003005635343,0.0
BA250,0.6344447051161903,0.0
BA115,0.6343550153854027,0.0
BA255,0.6335704836537447,0.0
BA263,0.6319636567792188,0.0
BA2,0.6318000240882237,0.0
BA273,0.6308013173207488,0.0
BA157,0.6307105163893626,0.0
BA279,0.6289555780669246,0.0
BA185,0.6288432485906906,0.0
BA283,0.6286444344398746,0.0
BA287,0.62857164541306,0.0
BA276,0.6285150756289718,0.0
BA291,0.6284432316917556,0.0
BA288,0.6283894557216362,0.0
BA294,0.6271268863385512,0.0
BA302,0.6268212806147377,0.0
BA304,0.625956036515763,0.0
BA310,0.6253256982484982,0.0
BA312,0.6252445910486562,0.0
BA165,0.6251713252884556,0.0
BA37,0.6251132725613926,0.0
BA316,0.6245355062070053,0.0
BA25,0.6244824430966518,0.0
BA319,0.6244012781796292,0.0
BA325,0.6241305789614998,0.0
BA108,0.6240814780806213,0.0
BA151,0.624034702223387,0.0
BA333,0.6239502338454233,0.0
BA336,0.6238665995184358,0.0
BA339,0.6231793883955128,0.0
BA340,0.622931032248898,0.0
BA148,0.6228547739034873,0.0
BA346,0.622571360332964,0.0
BA352,0.6224243604060294,0.0
BA353,0.6223378589008007,0.0
BA65,0.6222911534140189,0.0
BA358,0.6222280737996414,0.0
BA359,0.6221324962641606,0.0
BA362,0.6219676978581405,0.0
BA265,0.6219248404841963,0.0
BA369,0.6217394942983245,0.0
BA373,0.6192953240709985,0.0
BA172,0.6192034281101705,0.0
BA380,0.61745979672798,0.0
BA201,0.6173828519430717,0.0
BA128,0.6173306835093385,0.0
BA385,0.6171314179520677,0.0
BA389,0.6160718405132525,0.0
BA392,0.6159312083231263,0.0
BA51,0.6157992390030641,0.0
BA378,0.6157240786919398,0.0
BA383,0.6156402515412379,0.0
BA416,0.6130024365529338,0.0
BA180,0.6129632728368146,0.0
BA428,0.5999913012103618,0.0
BA423,0.5997435188486303,0.0
BA475,0.5997362363609458,0.0
BA17,0.3078201257706187,0.0
BA407,0.3071985283507296,0.0
BA447,0.3071137298680579,0.0
BA210,0.06388368915011115,0.0
BA396,0.0364780153973654,0.0
BA249,0.036423321949362444,0.0
BA254,0.020052185264411788,0.0
BA461,0.01985755264553315,0.0
BA402,0.0008996239682239402,0.0
BA431,1.7486044469488318e-15,0.0
BA419,1.1843567807416458e-15,0.0
BA74,6.361916903144413e-16,0.0
BA441,4.0012545185811e-16,0.0
BA444,2.8852922178049793e-16,0.0
BA474,8.585255462383469e-17,0.0
BA466,3.221835384479565e-17,0.0
BA150,8.343983700079455e-35,0.0
BA293,5.146873973545925e-35,0.0
BA476,1.1695668932619065e-35,0.0
