Feature,Class,Probability,MeanBeta
BA1,0,0.683,0.2996995847706488
BA1,1,0.66,0.2899077389921443
BA1,2,0.66,0.28133216561607727
BA1,3,0.662,0.2855171203377996
BA1,4,0.682,0.2967044336199429
BA1,5,0.656,0.2672345761440343
BA1,6,0.657,0.26771365735134983
BA1,7,0.657,0.25228268511095525
BA1,8,0.644,0.2349219112146546
BA2,0,0.676,0.2996545431173397
BA2,1,0.671,0.2779539454865229
BA2,2,0.693,0.33183662345263254
BA2,3,0.677,0.31765323020497466
BA2,4,0.661,0.2676221623965638
BA2,5,0.659,0.2645672922117781
BA2,6,0.673,0.27657301821419233
BA2,7,0.646,0.25080572105747057
BA2,8,0.687,0.3042212243247182
BA3,0,0.691,0.3286164070736532
BA3,1,0.689,0.3324373908000293
BA3,2,0.655,0.2553503013818003
BA3,3,0.636,0.23785413026092936
BA3,4,0.671,0.26796274467858
BA3,5,0.718,0.3182591693681255
BA3,6,0.689,0.3054350185446252
BA3,7,0.655,0.2584179159435401
BA3,8,0.631,0.20679594773132937
BA5,0,0.261,-0.4040738343355321
BA5,1,0.507,0.0037271806435417707
BA5,2,0.685,0.3043447128471211
BA5,3,0.382,-0.2104777530513282
BA5,4,0.917,0.8940730495137245
BA5,5,0.756,0.4333544673194278
BA5,6,0.335,-0.25703235339714287
BA5,7,0.171,-0.6206478287104148
BA5,8,0.858,0.6804415405569005
BA8,0,0.681,0.31918992542918023
BA8,1,0.641,0.27168043238453704
BA8,2,0.694,0.32509178353924484
BA8,3,0.683,0.3069555330308545
BA8,4,0.659,0.26963754092068803
BA8,5,0.66,0.25088095728985804
BA8,6,0.65,0.2437893456390463
BA8,7,0.663,0.2533353443362054
BA8,8,0.64,0.24394059749519365
BA16,0,0.663,0.27301631332815635
BA16,1,0.705,0.2941619296867784
BA16,2,0.657,0.27500368507731826
BA16,3,0.669,0.28113075420208866
BA16,4,0.679,0.2893234467537867
BA16,5,0.666,0.27717969297499456
BA16,6,0.664,0.2772069011671779
BA16,7,0.627,0.2150689379414666
BA16,8,0.661,0.27038256473808236
BA17,0,0.648,0.2681488050436377
BA17,1,0.68,0.30514085980083955
BA17,2,0.649,0.2622751290830153
BA17,3,0.685,0.32086910941045216
BA17,4,0.665,0.2733262846373157
BA17,5,0.67,0.265233157322518
BA17,6,0.654,0.2575220762829202
BA17,7,0.631,0.21931730144645226
BA17,8,0.666,0.30187950882646913
BA22,0,0.395,-0.14866718939620788
BA22,1,0.267,-0.40073503174441755
BA22,2,0.58,0.14434534970857224
BA22,3,0.734,0.41135921251534524
BA22,4,0.713,0.3795351150874526
BA22,5,0.362,-0.20694123171430692
BA22,6,0.812,0.5989110005104186
BA22,7,0.361,-0.24048328046791423
BA22,8,0.887,0.7568159962381461
BA24,0,0.626,0.22511721232269052
BA24,1,0.674,0.3025660756569999
BA24,2,0.626,0.2350176676638885
BA24,3,0.658,0.24390362783299124
BA24,4,0.659,0.25582356595241235
BA24,5,0.699,0.32250392665863187
BA24,6,0.69,0.33140441905279294
BA24,7,0.666,0.28743266660018546
BA24,8,0.656,0.25314354272908535
BA25,0,0.424,-0.08564906135634506
BA25,1,0.459,-0.04302421692181065
BA25,2,0.431,-0.13404228064466078
BA25,3,0.426,-0.09325815803062062
BA25,4,0.45,-0.06807246526161259
BA25,5,0.486,-0.0011004646195909922
BA25,6,0.456,-0.04476342041968891
BA25,7,0.498,4.089574609909608e-06
BA25,8,0.828,0.5116996567957203
BA29,0,0.651,0.2647002190369802
BA29,1,0.542,0.07262616077130962
BA29,2,0.703,0.3253280702042453
BA29,3,0.82,0.5697833550402844
BA29,4,0.588,0.14538010706882432
BA29,5,0.455,-0.061501855784619336
BA29,6,0.549,0.07422772356654342
BA29,7,0.496,0.0013225516464824454
BA29,8,0.765,0.43925840018298357
BA30,0,0.662,0.29501335188975386
BA30,1,0.655,0.2655856294211149
BA30,2,0.666,0.2698316051964538
BA30,3,0.672,0.27562343882675344
BA30,4,0.658,0.2573382167939648
BA30,5,0.654,0.24232106889270139
BA30,6,0.657,0.2745166089182268
BA30,7,0.665,0.2633443284552041
BA30,8,0.668,0.2605577490787179
BA33,0,0.478,-0.0344998899610321
BA33,1,0.515,0.04697146522462729
BA33,2,0.591,0.14207259912200135
BA33,3,0.473,-0.027543344454548268
BA33,4,0.57,0.11478212156877819
BA33,5,0.683,0.289444745955817
BA33,6,0.485,-0.03687069989607816
BA33,7,0.262,-0.38125875663307146
BA33,8,0.92,0.9240595452536928
BA34,0,0.663,0.28110452012068193
BA34,1,0.708,0.3359338705634532
BA34,2,0.624,0.22073050262389127
BA34,3,0.629,0.210789881890232
BA34,4,0.617,0.19588491703630512
BA34,5,0.702,0.32392914712997356
BA34,6,0.668,0.2565423779465924
BA34,7,0.684,0.2855360955949854
BA34,8,0.659,0.2810358164922438
BA37,0,0.66,0.2976576186403558
BA37,1,0.663,0.27854205168213375
BA37,2,0.674,0.27518440982394443
BA37,3,0.678,0.28880002369712676
BA37,4,0.665,0.2717887150752898
BA37,5,0.642,0.26776045818033606
BA37,6,0.649,0.232466052664536
BA37,7,0.639,0.20911210092826582
BA37,8,0.652,0.2507634747442564
BA41,0,0.651,0.2591501599242871
BA41,1,0.653,0.2638011872899424
BA41,2,0.686,0.3092166834524892
BA41,3,0.671,0.26763404992804596
BA41,4,0.676,0.2700898746055925
BA41,5,0.67,0.28553151593331766
BA41,6,0.682,0.28904050768760026
BA41,7,0.646,0.2551100232869281
BA41,8,0.67,0.2832637064139025
BA51,0,0.663,0.2693471723797966
BA51,1,0.689,0.30768310304423263
BA51,2,0.671,0.31220923512629156
BA51,3,0.684,0.3246070003856182
